cell,variant,model,corpus,kind,quantitative,unmatched,n_windows,n_docs,bpb,gain,gain_ci,c_hat,fit_accepted,beta,Linf,beta_ci,fit_reason
q25c-0.5b__geant4__full_topo_xl,main,q25c-0.5b,geant4,full_topo_xl,True,True,121,1497,0.3017,0.663763662272425,"[0.5966852513824895, 0.7454505274719233]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__clean_c2024_11,main,q25c-0.5b,mathlib,clean_c2024_11,False,False,4,58,0.6269,,,,False,,,,cell below quantitative floors (w=4 d=58)
q25c-0.5b__mathlib__full_shuffled,main,q25c-0.5b,mathlib,full_shuffled,True,False,25,220,0.6253,0.9131887424881198,"[0.7964530260899352, 1.0503258536933553]",5792.618751480198,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo,main,q25c-0.5b,mathlib,full_topo,True,False,25,220,0.6159,1.0367492164694254,"[0.8665193954013464, 1.2065429747861514]",5792.618751480198,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo,masked_c2024_11,q25c-0.5b,mathlib,full_topo,True,False,23,95,0.6405,0.7675328939642954,"[0.46701431165524804, 1.1166090084695959]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo,masked_c2025_04,q25c-0.5b,mathlib,full_topo,True,False,21,72,0.6432,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__mathlib__full_topo,masked_c2026_02,q25c-0.5b,mathlib,full_topo,False,False,15,25,0.6551,,,,False,,,,cell below quantitative floors (w=15 d=25)
q25c-0.5b__mathlib__full_topo__perdoc,main,q25c-0.5b,mathlib,full_topo__perdoc,True,False,220,220,0.6348,0.18338775913336736,"[0.12225597416926258, 0.2435529476140773]",23170.47500592079,False,,,,non-contiguous valid-bin support
q25c-0.5b__mathlib__full_topo__perdoc,masked_c2024_11,q25c-0.5b,mathlib,full_topo__perdoc,True,False,95,95,0.6692,0.16332696841091332,"[0.06663337729948021, 0.2775673034181292]",11585.237502960395,False,,,,non-contiguous valid-bin support
q25c-0.5b__mathlib__full_topo__perdoc,masked_c2025_04,q25c-0.5b,mathlib,full_topo__perdoc,True,False,72,72,0.6797,0.13518389708630807,"[0.003869681601494531, 0.31529575004654287]",5792.618751480198,False,,,,non-contiguous valid-bin support
